person_id_random,gender,fb_friend_count,current_home_years,current_home_months,living_situation,current_job_years,current_job_months,education,how_much_paid,how_often_paid,referral_source,outstanding_loan,use_mobile_wallet_how_often,relationship_status,is_employed,local_access_time,first_access_signup_gap,country_name,city_name,money_in_amount,money_in_times,money_out_amount,money_out_times,age
8548843141.0,M,,,,,,,,,,google_play_store,,10+,,,2.0,691.0,Tanzania,,28931.0,25.0,4993.0,5.0,28.9095890411
5334896838.0,M,557.0,,,,,,,,,,,9-Apr,,,1.0,704.0,Tanzania,Dar es Salaam,10757.0,5.0,2600.0,3.0,37.2520547945
4656062708.0,M,308.0,,,,,,,,,facebook,no,10+,,,1.0,662.0,Tanzania,,1500.0,2.0,28305.0,28.0,43.7205479452
2283557917.0,F,115.0,5+,10.0,pay_rent,,,,50000.0,monthly,facebook,no,daily,,,2.0,695.0,Tanzania,Dar es Salaam,27580.0,5.0,36408.0,25.0,31.5452054795
8449258035.0,F,473.0,3,0.0,pay_rent,,,,,weekly,family,no,daily,,,1.0,683.0,Tanzania,,56900.0,8.0,138015.0,22.0,28.7369863014
2287514871.0,M,1168.0,2,0.0,pay_rent,,,,30000.0,monthly,,no,daily,,,,,,,,,,,
4017268696.0,M,925.0,1,2.0,,,,,15000.0,monthly,friend,no,few_times_a_week,,,3.0,655.0,Tanzania,Dar es Salaam,150.0,1.0,990.0,3.0,33.901369863
5585643436.0,F,465.0,1,,pay_rent,2,7.0,,40000.0,monthly,,yes,few_times_a_week,,,2.0,598.0,Tanzania,,8110.0,5.0,58500.0,25.0,28.9643835616
4239791639.0,F,65.0,4,0.0,pay_rent,3,,,8000.0,monthly,,no,few_times_a_week,,,1.0,732.0,Tanzania,,1250.0,2.0,1600.0,3.0,93.2438356164
3585535472.0,M,839.0,2,4.0,pay_rent,,7.0,,1500.0,daily,,no,few_times_a_week,,,2.0,590.0,Tanzania,,2390.0,2.0,5970.0,7.0,42.5534246575
3342477379.0,F,636.0,4,0.0,pay_rent,5+,,,30000.0,monthly,friend,no,few_times_a_week,,,74.0,610.0,Tanzania,,11828.0,10.0,26498.0,20.0,38.2246575342
5346231779.0,F,412.0,2,0.0,pay_rent,4,,,6000.0,weekly,,no,daily,,,2.0,689.0,Tanzania,,16350.0,5.0,121186.0,25.0,31.9150684932
1341618714.0,F,3283.0,0,2.0,pay_rent,1,,,15000.0,monthly,,no,few_times_a_week,,,1.0,649.0,Tanzania,Dar es Salaam,11500.0,5.0,39968.0,25.0,
6891187473.0,M,122.0,0,,pay_rent,4,,,,weekly,,no,few_times_a_week,,,,,,,,,,,33.4465753425
9545294644.0,M,147.0,0,9.0,pay_rent,2,,,9500.0,monthly,,yes,daily,,,,,,,,,,,34.2712328767
3884829185.0,F,278.0,5+,5.0,,2,0.0,,40000.0,monthly,,no,few_times_a_week,,,15.0,586.0,Tanzania,,63430.0,14.0,53967.0,16.0,33.8301369863
,,,,,,,,,,,,,,,,,,,,,,,,
7357826278.0,M,380.0,4,2.0,pay_rent,5+,,,60000.0,monthly,,no,daily,,,1.0,636.0,Tanzania,,94000.0,7.0,101920.0,23.0,97.8739726027
4342241928.0,M,142.0,2,8.0,pay_rent,,,,20000.0,monthly,,no,few_times_a_week,,,,,,,,,,,55.0328767123
2535099359.0,M,411.0,5+,0.0,pay_rent,,,,16000.0,monthly,,yes,few_times_a_week,,,2.0,763.0,Tanzania,,23000.0,4.0,25757.0,6.0,
1911454239.0,F,199.0,4,0.0,own_home,,,,30000.0,weekly,,no,daily,,,1.0,634.0,Tanzania,,39900.0,8.0,102893.0,22.0,33.1342465753
3930083269.0,M,170.0,5+,11.0,,4,,,15000.0,monthly,,yes,few_times_a_week,,,,,,,,,,,33.9150684932
3670141772.0,F,495.0,4,,pay_rent,0,,,500.0,daily,,no,few_times_a_week,,,1.0,608.0,Tanzania,,52800.0,27.0,7854.0,3.0,24.3616438356
1817487983.0,M,707.0,5+,0.0,pay_rent,4,,,15000.0,monthly,facebook,no,daily,,,1.0,612.0,Tanzania,,53790.0,22.0,17940.0,8.0,32.3863013699
3967732927.0,M,2067.0,5+,0.0,pay_rent,,,,50000.0,monthly,,yes,daily,,,1.0,608.0,Tanzania,,0.0,0.0,7670.0,5.0,29.7479452055
8521033508.0,M,277.0,4,0.0,pay_rent,,,,900.0,daily,,no,few_times_a_week,,,2.0,701.0,Tanzania,Dar es Salaam,115646.0,7.0,29778.0,8.0,29.1397260274
5799676461.0,M,3058.0,4,0.0,pay_rent,5+,,,50000.0,monthly,,yes,daily,,,1.0,606.0,Tanzania,,30450.0,8.0,161892.0,22.0,34.095890411
2528750026.0,F,1340.0,3,0.0,pay_rent,,,,200.0,daily,,yes,few_times_a_week,,,7.0,590.0,Tanzania,,6930.0,4.0,22886.0,26.0,27.704109589
5330295937.0,M,214.0,5+,11.0,pay_rent,3,6.0,,1000.0,,facebook,no,daily,,,2.0,632.0,Tanzania,,84000.0,7.0,229120.0,23.0,36.3808219178
4345724251.0,M,88.0,4,2.0,pay_rent,,10.0,,65850.0,monthly,,no,daily,,,1.0,762.0,Tanzania,,250.0,1.0,0.0,0.0,36.7232876712
3757970868.0,M,854.0,2,5.0,own_home,1,,,200.0,,,no,daily,,,1.0,704.0,Tanzania,,4818.0,11.0,3118.0,5.0,25.0657534247
2669649960.0,M,33.0,3,0.0,pay_rent,4,,,20000.0,weekly,,no,daily,,,4.0,585.0,Tanzania,,1000.0,1.0,8077.0,4.0,34.5369863014
3620626456.0,M,392.0,3,9.0,own_home,4,5.0,,2060.0,,,no,daily,,,1.0,755.0,Tanzania,,2050.0,2.0,0.0,0.0,27.0328767123
5958664143.0,M,148.0,3,0.0,pay_rent,2,,,20000.0,monthly,,no,few_times_a_week,,,,,,,,,,,24.9780821918
1661102022.0,F,128.0,4,2.0,pay_rent,3,0.0,,3500.0,daily,,no,daily,,,1.0,696.0,Tanzania,Dar es Salaam,3800.0,7.0,3061.0,6.0,33.298630137
7777374938.0,M,49.0,5+,11.0,own_home,5+,0.0,,4000.0,weekly,,no,daily,,,1.0,634.0,Tanzania,Dar es Salaam,10080.0,18.0,13236.0,12.0,51.7753424658
5875230942.0,M,797.0,2,6.0,pay_rent,0,4.0,,800.0,daily,,no,few_times_a_week,,,2.0,560.0,Tanzania,,242560.0,12.0,135310.0,18.0,86.6136986301
5563120467.0,M,234.0,4,0.0,pay_rent,3,0.0,,1000.0,daily,,no,daily,,,12.0,571.0,Tanzania,,23400.0,2.0,0.0,0.0,36.5479452055
6551180719.0,M,739.0,2,2.0,own_home,3,2.0,,5500.0,weekly,,no,few_times_a_week,,,5.0,567.0,Tanzania,,62770.0,16.0,47527.0,14.0,
4552401360.0,M,463.0,1,5.0,pay_rent,2,0.0,,15000.0,monthly,,no,few_times_a_week,,,1.0,728.0,Tanzania,,3250.0,2.0,7030.0,2.0,28.3863013699
